index,Barrio,BARRIOS_HECHO,lat,lon
260,"Granjas reagan, Bucaramanga, Colombia",GRANJAS REAGAN,7.12551689, -73.11826324
261,"Robles, Bucaramanga, Colombia",ROBLES,6.65480709, -72.65851593
262,"Balcon del lago, Bucaramanga, Colombia",BALCÃ“N DEL LAGO,7.12551689, -73.11826324
263,"Asentamiento primaveral, Bucaramanga, Colombia",ASENTAMIENTO PRIMAVERAL,7.12551689, -73.11826324
264,"Vda. la esperanza, Bucaramanga, Colombia",VDA. LA ESPERANZA,7.12551689, -73.11826324
265,"C.r. serrezuela, Bucaramanga, Colombia",C.R. SERREZUELA,7.12551689, -73.11826324
266,"Miradores del kennedy, Bucaramanga, Colombia",MIRADORES DEL KENNEDY,7.12551689, -73.11826324
267,"Rosalta, Bucaramanga, Colombia",ROSALTA,7.12551689, -73.11826324
268,"El aburrido, Bucaramanga, Colombia",EL ABURRIDO,7.12551689, -73.11826324
269,"Cenfer, Bucaramanga, Colombia",CENFER,7.12551689, -73.11826324
270,"Urbanizacion san fermin, Bucaramanga, Colombia",Urbanizacion SAN FERMIN,7.12551689, -73.11826324
271,"Urbanizacion marsella real, Bucaramanga, Colombia",Urbanizacion MARSELLA REAL,7.12551689, -73.11826324
272,"Carrasco, Bucaramanga, Colombia",CARRASCO,7.12551689, -73.11826324
273,"Urbanizacion plazuela real, Bucaramanga, Colombia",Urbanizacion PLAZUELA REAL,7.12551689, -73.11826324
274,"Autopista f/blanca-p/cuesta., Bucaramanga, Colombia",AUTOPISTA F/BLANCA-P/CUESTA.,7.09307, -73.12647
275,"Urbanizacion torres de alejandria, Bucaramanga, Colombia",Urbanizacion TORRES DE ALEJANDRÃA,7.12551689, -73.11826324
276,"Asentamiento navas, Bucaramanga, Colombia",ASENTAMIENTO NAVAS,7.12551689, -73.11826324
277,"Los laureles, Bucaramanga, Colombia",LOS LAURELES,7.12551689, -73.11826324
278,"Cacique ipana, Bucaramanga, Colombia",CACIQUE IPANA,7.12551689, -73.11826324
279,"Retiro chiquito, Bucaramanga, Colombia",RETIRO CHIQUITO,7.12551689, -73.11826324
280,"PeÃ±on del valle, Bucaramanga, Colombia",PEÃ‘ON DEL VALLE,7.12551689, -73.11826324
281,"Omaga 1, Bucaramanga, Colombia",OMAGÃ 1,7.12551689, -73.11826324
282,"La sabana, Bucaramanga, Colombia",LA SABANA,8.07427692, -72.39051819
283,"Alto de los padres, Bucaramanga, Colombia",ALTO DE LOS PADRES,7.12551689, -73.11826324
284,"Gallineral, Bucaramanga, Colombia",GALLINERAL,7.12551689, -73.11826324
